SRR8287990,WGS,200,33779011200,SAMN10524912,13993217601,UNIVERSITY OF CALIFORNIA IRVINE,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5102697,Illumina HiSeq 4000,BW_1,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,ILLUMINA,2019-10-01T00:00:00Z,Peromyscus maniculatus bairdii,SRP172773,PRJNA508550,Model organism or animal,male,bairdii,liver,Adult,,,,BW Stock,
SRR452508,WGS,529,243188125,SAMN00848614,572807049,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452509,WGS,531,227883205,SAMN00848614,538471633,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452510,WGS,464,107526151,SAMN00848614,261229791,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134974,454 GS FLX Titanium,4WG_PMAN.00_000pA,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452511,WGS,468,103260711,SAMN00848614,249748549,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134974,454 GS FLX Titanium,4WG_PMAN.00_000pA,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452512,WGS,487,278248713,SAMN00848614,673955125,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452513,WGS,469,230722758,SAMN00848614,563276305,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134974,454 GS FLX Titanium,4WG_PMAN.00_000pA,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452514,WGS,526,269239461,SAMN00848614,642233851,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452515,WGS,530,244946812,SAMN00848614,584272885,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452516,WGS,483,312340576,SAMN00848614,760659795,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452517,WGS,487,285551450,SAMN00848614,700223484,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452518,WGS,489,300671880,SAMN00848614,731340243,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452519,WGS,486,237635929,SAMN00848614,579841103,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452520,WGS,466,237010951,SAMN00848614,584878630,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452521,WGS,478,282016891,SAMN00848614,692884067,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134974,454 GS FLX Titanium,4WG_PMAN.00_000pA,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452522,WGS,483,255576971,SAMN00848614,631957700,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134974,454 GS FLX Titanium,4WG_PMAN.00_000pA,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452523,WGS,471,246188204,SAMN00848614,607946395,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134974,454 GS FLX Titanium,4WG_PMAN.00_000pA,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452524,WGS,472,221189567,SAMN00848614,550491866,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134974,454 GS FLX Titanium,4WG_PMAN.00_000pA,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452525,WGS,498,269068115,SAMN00848614,642228953,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452526,WGS,498,263352882,SAMN00848614,631694985,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452527,WGS,460,238729149,SAMN00848614,586803838,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452528,WGS,468,224842974,SAMN00848614,560456674,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452529,WGS,460,243070105,SAMN00848614,593244572,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452530,WGS,464,235784996,SAMN00848614,583524305,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452531,WGS,508,253997235,SAMN00848614,613080332,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452532,WGS,519,208786133,SAMN00848614,505135358,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452533,WGS,465,275148083,SAMN00848614,680922249,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452534,WGS,467,244693695,SAMN00848614,605701971,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452535,WGS,463,250983454,SAMN00848614,611480583,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134974,454 GS FLX Titanium,4WG_PMAN.00_000pA,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452536,WGS,463,244509917,SAMN00848614,599271997,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134974,454 GS FLX Titanium,4WG_PMAN.00_000pA,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452537,WGS,468,223299809,SAMN00848614,549554397,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134974,454 GS FLX Titanium,4WG_PMAN.00_000pA,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452538,WGS,499,255496180,SAMN00848614,609612471,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452539,WGS,500,235341991,SAMN00848614,566576185,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452540,WGS,464,259846132,SAMN00848614,636841647,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134974,454 GS FLX Titanium,4WG_PMAN.00_000pA,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452541,WGS,480,240162756,SAMN00848614,596071473,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452542,WGS,480,218536839,SAMN00848614,542921096,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452543,WGS,544,265512331,SAMN00848614,624466510,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452544,WGS,480,271438147,SAMN00848614,655259048,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452545,WGS,477,258940919,SAMN00848614,624129859,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452546,WGS,478,245997491,SAMN00848614,594984903,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452547,WGS,496,242227221,SAMN00848614,586627225,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452548,WGS,481,255504946,SAMN00848614,618652889,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134974,454 GS FLX Titanium,4WG_PMAN.00_000pA,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452549,WGS,470,287962180,SAMN00848614,727526495,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452550,WGS,468,286828497,SAMN00848614,712025505,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452551,WGS,485,292638192,SAMN00848614,714596018,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452552,WGS,486,312716554,SAMN00848614,770130457,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452553,WGS,477,248346895,SAMN00848614,599718660,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452554,WGS,477,237049592,SAMN00848614,572610940,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452555,WGS,482,269036704,SAMN00848614,650544268,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134975,454 GS FLX Titanium,4WG_PMAN.00_000pE,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452556,WGS,483,237940134,SAMN00848614,578688790,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134975,454 GS FLX Titanium,4WG_PMAN.00_000pE,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452557,WGS,465,102955687,SAMN00848614,251241340,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452558,WGS,478,267238165,SAMN00848614,655630863,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134975,454 GS FLX Titanium,4WG_PMAN.00_000pE,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452559,WGS,540,281682318,SAMN00848614,658307775,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452560,WGS,542,274353936,SAMN00848614,643171096,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452561,WGS,472,254472041,SAMN00848614,615910820,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134964,454 GS FLX Titanium,4WG_PMAN.00_000pF,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452562,WGS,475,243750974,SAMN00848614,592026710,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134964,454 GS FLX Titanium,4WG_PMAN.00_000pF,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452563,WGS,476,96900375,SAMN00848614,236403066,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452564,WGS,484,268718430,SAMN00848614,651585680,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452565,WGS,480,270546265,SAMN00848614,654814633,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134966,454 GS FLX Titanium,4WG_PMAN.00_000pB,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452566,WGS,503,284222714,SAMN00848614,678388582,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452567,WGS,477,296590597,SAMN00848614,717990957,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134976,454 GS FLX Titanium,4WG_PMAN.00_000pD,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
SRR452568,WGS,459,236413587,SAMN00848614,578834863,BCM,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX134957,454 GS FLX Titanium,4WG_PMAN.00_000pC,PAIRED,RANDOM,GENOMIC,Peromyscus maniculatus bairdii,LS454,2012-04-02T00:00:00Z,PMAN.00,SRP012023,PRJNA53563,,,,,,,,,,
