SRR1970797,WGS,PRJNA280802,SAMN03466619,UNIVERSITY OF POTSDAM,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX992579,Illumina HiSeq 2000,LPA_placenta--SG,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-04-10T00:00:00Z,LPA_placenta,SRP057047,,,,,,,,,,,,200,392390800,252808424,,,,,not collected,J.Fickel,Model organism or animal,NA,not collected,tissue (placenta)
ERR1255522,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"unknown_contigs,fastq,sra","ena,s3,gs,ncbi","s3.us-east-1,ena,ncbi.public,gs.US",ERX1327131,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7012444152,4117893940,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255523,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ena,ncbi,gs,s3","ncbi.public,gs.US,ena,s3.us-east-1",ERX1327132,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7216477704,4269261654,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255524,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"sra,unknown_contigs,fastq","s3,ncbi,ena,gs","gs.US,ncbi.public,ena,s3.us-east-1",ERX1327133,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7754525784,5050993527,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255525,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"unknown_contigs,fastq,sra","s3,ena,gs,ncbi","gs.US,s3.us-east-1,ncbi.public,ena",ERX1327134,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7713292212,4798063052,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255526,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"unknown_contigs,sra,fastq","ncbi,gs,s3,ena","s3.us-east-1,ena,gs.US,ncbi.public",ERX1327135,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7434704940,4463935068,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255527,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra,unknown_contigs","ena,gs,s3,ncbi","gs.US,ena,ncbi.public,s3.us-east-1",ERX1327136,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7145244120,4117835062,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255528,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra,unknown_contigs","ncbi,s3,gs,ena","s3.us-east-1,gs.US,ncbi.public,ena",ERX1327137,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7537319076,4737971250,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255529,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra,unknown_contigs","ncbi,ena,s3,gs","gs.US,s3.us-east-1,ena,ncbi.public",ERX1327138,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,6263400996,3887082528,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255530,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra,unknown_contigs","ncbi,s3,ena,gs","s3.us-east-1,ena,ncbi.public,gs.US",ERX1327139,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7236723876,4527163930,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255531,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ncbi,s3,gs,ena","s3.us-east-1,ena,ncbi.public,gs.US",ERX1327140,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,7487300892,4702262675,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255532,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ncbi,ena,gs,s3","gs.US,ncbi.public,ena,s3.us-east-1",ERX1327141,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,9010929132,5860380767,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
ERR1255533,WGS,PRJEB12609,SAMEA3862495,CENTRO NACIONAL DE ANÁLISIS GENÓMICO,public,"fastq,sra","ena,gs,ncbi,s3","s3.us-east-1,ena,gs.US,ncbi.public",ERX1327142,Illumina Genome Analyzer IIx,LYNX_J,PAIRED,RANDOM,GENOMIC,Lynx pardinus,ILLUMINA,2016-02-11T00:00:00Z,SAMEA3862495,ERP014100,LYNX1,ERC000011,2016-02-10,2018-11-16,CNAG,2016-02-10T17:01:55Z,2016-02-02T12:12:20Z,public,ERS1049629,ERS1049629,Lynx pardinus DNA,228,8955081900,5686941633,Candiles gDNA sample,,A001,"Sierra de And?jar Natural Park\, Sierra Morena\, Spain",,,,,,
